run_id,status,configured_bandwidth_mbps,throughput_mbps,ratio_to_configured,started_at,ended_at,commit,environment_file,cleanup_status,error,cohort,evidence_path
100mbps-run-01,failure,100,,,2026-08-03T07:55:20.258383Z,2026-08-03T07:55:21.185963Z,f18e13ea28415c22425ca738c2ce967438277cf8,../environment.json,failure,"permission denied while trying to connect to the docker API at unix:///var/run/docker.sock
",additional_recorded_attempt,100mbps-run-01/metrics.json
100mbps-run-02,failure,100,,,2026-08-03T07:55:21.241666Z,2026-08-03T07:55:22.264788Z,f18e13ea28415c22425ca738c2ce967438277cf8,../environment.json,failure,"permission denied while trying to connect to the docker API at unix:///var/run/docker.sock
",additional_recorded_attempt,100mbps-run-02/metrics.json
100mbps-run-03,failure,100,,,2026-08-03T07:55:22.291268Z,2026-08-03T07:55:23.065131Z,f18e13ea28415c22425ca738c2ce967438277cf8,../environment.json,failure,"permission denied while trying to connect to the docker API at unix:///var/run/docker.sock
",additional_recorded_attempt,100mbps-run-03/metrics.json
100mbps-run-04,failure,100,,,2026-08-03T07:55:23.078722Z,2026-08-03T07:55:23.684309Z,f18e13ea28415c22425ca738c2ce967438277cf8,../environment.json,failure,"permission denied while trying to connect to the docker API at unix:///var/run/docker.sock
",additional_recorded_attempt,100mbps-run-04/metrics.json
100mbps-run-05,failure,100,,,2026-08-03T07:55:23.723449Z,2026-08-03T07:55:24.260023Z,f18e13ea28415c22425ca738c2ce967438277cf8,../environment.json,failure,"permission denied while trying to connect to the docker API at unix:///var/run/docker.sock
",additional_recorded_attempt,100mbps-run-05/metrics.json
50mbps-run-01,failure,50,,,2026-08-03T07:55:15.998808Z,2026-08-03T07:55:16.929139Z,f18e13ea28415c22425ca738c2ce967438277cf8,../environment.json,failure,"permission denied while trying to connect to the docker API at unix:///var/run/docker.sock
",additional_recorded_attempt,50mbps-run-01/metrics.json
50mbps-run-02,failure,50,,,2026-08-03T07:55:16.942065Z,2026-08-03T07:55:17.813281Z,f18e13ea28415c22425ca738c2ce967438277cf8,../environment.json,failure,"permission denied while trying to connect to the docker API at unix:///var/run/docker.sock
",additional_recorded_attempt,50mbps-run-02/metrics.json
50mbps-run-03,failure,50,,,2026-08-03T07:55:17.841056Z,2026-08-03T07:55:18.553679Z,f18e13ea28415c22425ca738c2ce967438277cf8,../environment.json,failure,"permission denied while trying to connect to the docker API at unix:///var/run/docker.sock
",additional_recorded_attempt,50mbps-run-03/metrics.json
50mbps-run-04,failure,50,,,2026-08-03T07:55:18.583714Z,2026-08-03T07:55:19.283440Z,f18e13ea28415c22425ca738c2ce967438277cf8,../environment.json,failure,"permission denied while trying to connect to the docker API at unix:///var/run/docker.sock
",additional_recorded_attempt,50mbps-run-04/metrics.json
50mbps-run-05,failure,50,,,2026-08-03T07:55:19.340064Z,2026-08-03T07:55:20.231597Z,f18e13ea28415c22425ca738c2ce967438277cf8,../environment.json,failure,"permission denied while trying to connect to the docker API at unix:///var/run/docker.sock
",additional_recorded_attempt,50mbps-run-05/metrics.json
100mbps-run-01,success,100,58.4,0.584,2026-08-03T07:56:38.806339Z,2026-08-03T07:56:47.987020Z,f18e13ea28415c22425ca738c2ce967438277cf8,../environment.json,success,,primary_replication_with_preserved_retry,replication-attempt-02/100mbps-run-01/metrics.json
100mbps-run-02,success,100,84.9,0.8490000000000001,2026-08-03T07:56:48.058113Z,2026-08-03T07:56:57.093483Z,f18e13ea28415c22425ca738c2ce967438277cf8,../environment.json,success,,primary_replication_with_preserved_retry,replication-attempt-02/100mbps-run-02/metrics.json
100mbps-run-03,success,100,80.2,0.802,2026-08-03T07:56:57.123197Z,2026-08-03T07:57:05.351437Z,f18e13ea28415c22425ca738c2ce967438277cf8,../environment.json,success,,primary_replication_with_preserved_retry,replication-attempt-02/100mbps-run-03/metrics.json
100mbps-run-04,success,100,83.1,0.831,2026-08-03T07:57:05.374292Z,2026-08-03T07:57:14.915043Z,f18e13ea28415c22425ca738c2ce967438277cf8,../environment.json,success,,primary_replication_with_preserved_retry,replication-attempt-02/100mbps-run-04/metrics.json
100mbps-run-05,failure,100,,,2026-08-03T07:57:14.931923Z,2026-08-03T07:57:19.425500Z,f18e13ea28415c22425ca738c2ce967438277cf8,../environment.json,success,"iperf3: error - control socket has closed unexpectedly
",primary_replication_with_preserved_retry,replication-attempt-02/100mbps-run-05/metrics.json
