class,evidence,family,hops,loss_percent,nodes,reward,rtt_ms,status,throughput_mbps
longest,runs/germany50-selected-paths-final/longest-run-01/metrics.json,germany50_extracted,9,0,,,213.992,SUCCESS,15.7
longest,runs/germany50-selected-paths-final/longest-run-02/metrics.json,germany50_extracted,9,0,,,214.409,SUCCESS,15.7
longest,runs/germany50-selected-paths-final/longest-run-03/metrics.json,germany50_extracted,9,0,,,214.873,SUCCESS,15.7
median,runs/germany50-selected-paths-final/median-run-01/metrics.json,germany50_extracted,4,0,,,105.563,SUCCESS,17.8
median,runs/germany50-selected-paths-final/median-run-02/metrics.json,germany50_extracted,4,0,,,104.378,SUCCESS,17.8
median,runs/germany50-selected-paths-final/median-run-03/metrics.json,germany50_extracted,4,0,,,103.928,SUCCESS,17.8
shortest,runs/germany50-selected-paths-final/shortest-run-01/metrics.json,germany50_extracted,1,0,,,40.999,SUCCESS,18.8
shortest,runs/germany50-selected-paths-final/shortest-run-02/metrics.json,germany50_extracted,1,0,,,41.101,SUCCESS,18.8
shortest,runs/germany50-selected-paths-final/shortest-run-03/metrics.json,germany50_extracted,1,0,,,41.489,SUCCESS,18.8
shortest,runs/final-evaluation/germany50-full-fixed/selected-attempt-1/summary.json,germany50_full_selected,1,0.0,50,,0.079,SUCCESS,25200.0
shortest,runs/final-evaluation/germany50-full-fixed/selected-attempt-1/summary.json,germany50_full_selected,1,0.0,50,,0.074,SUCCESS,17500.0
shortest,runs/final-evaluation/germany50-full-fixed/selected-attempt-1/summary.json,germany50_full_selected,1,0.0,50,,0.077,SUCCESS,22200.0
median,runs/final-evaluation/germany50-full-fixed/selected-attempt-1/summary.json,germany50_full_selected,4,0.0,50,,0.149,SUCCESS,11000.0
median,runs/final-evaluation/germany50-full-fixed/selected-attempt-1/summary.json,germany50_full_selected,4,0.0,50,,0.154,SUCCESS,11300.0
median,runs/final-evaluation/germany50-full-fixed/selected-attempt-1/summary.json,germany50_full_selected,4,0.0,50,,0.149,SUCCESS,11900.0
longest,runs/final-evaluation/germany50-full-fixed/selected-attempt-1/summary.json,germany50_full_selected,9,0.0,50,,0.385,SUCCESS,6850.0
longest,runs/final-evaluation/germany50-full-fixed/selected-attempt-1/summary.json,germany50_full_selected,9,0.0,50,,0.223,SUCCESS,6270.0
longest,runs/final-evaluation/germany50-full-fixed/selected-attempt-1/summary.json,germany50_full_selected,9,0.0,50,,0.211,SUCCESS,7310.0
20260722,runs/final-evaluation/rl-final/seed-20260722/summary.json,rl_q_learning,,,6,10.123,73.888,SUCCESS,14.617
20260723,runs/final-evaluation/rl-final/seed-20260723/summary.json,rl_q_learning,,,6,14.382,48.871,SUCCESS,17.125
20260724,runs/final-evaluation/rl-final/seed-20260724/summary.json,rl_q_learning,,,6,10.968,68.906,SUCCESS,15.113
20260725,runs/final-evaluation/rl-final/seed-20260725/summary.json,rl_q_learning,,,6,10.939,69.013,SUCCESS,15.089
20260726,runs/final-evaluation/rl-final/seed-20260726/summary.json,rl_q_learning,,,6,11.852,63.968,SUCCESS,15.65
