policy,episode,phase,path,reward,rtt_ms,loss_percent,throughput_mbps,elapsed_s
q_learning,1,phase-1-a-preferred,A,16.76,36.805,0.0,18.6,
q_learning,2,phase-1-a-preferred,A,17.24,25.207,0.0,18.5,
q_learning,3,phase-1-a-preferred,A,17.345,25.096,0.0,18.6,
q_learning,4,phase-1-a-preferred,A,17.341,25.172,0.0,18.6,
q_learning,5,phase-1-a-preferred,A,16.863,36.745,0.0,18.7,5.16
q_learning,6,phase-1-a-preferred,A,17.472,24.558,0.0,18.7,5.275
q_learning,7,phase-1-a-preferred,A,17.37,24.595,0.0,18.6,5.497
q_learning,8,phase-1-a-preferred,A,17.37,24.597,0.0,18.6,5.364
q_learning,9,phase-1-a-preferred,A,16.764,36.723,0.0,18.6,5.114
q_learning,10,phase-1-a-preferred,A,17.372,24.551,0.0,18.6,5.192
q_learning,11,phase-2-b-preferred,A,-3.687,124.732,0.0,2.55,6.923
q_learning,12,phase-2-b-preferred,A,-5.701,125.417,0.0,0.57,8.871
q_learning,13,phase-2-b-preferred,A,-7.907,186.93,0.0,1.44,9.251
q_learning,14,phase-2-b-preferred,A,-5.246,124.721,0.0,0.99,10.327
q_learning,15,phase-2-b-preferred,A,-36.975,250.894,50.0,0.57,10.952
q_learning,16,phase-2-b-preferred,A,-5.321,125.222,0.0,0.94,8.686
q_learning,17,phase-2-b-preferred,A,-5.837,125.347,0.0,0.43,9.297
q_learning,18,phase-2-b-preferred,A,-4.335,125.502,0.0,1.94,7.538
q_learning,19,phase-2-b-preferred,A,-8.678,186.963,0.0,0.67,10.722
q_learning,20,phase-2-b-preferred,A,-5.346,124.723,0.0,0.89,9.658
heuristic,1,phase-1-a-preferred,A,16.861,36.789,0.0,18.7,5.288
heuristic,2,phase-1-a-preferred,A,17.371,24.574,0.0,18.6,5.239
heuristic,3,phase-1-a-preferred,A,17.369,24.613,0.0,18.6,5.358
heuristic,4,phase-1-a-preferred,A,17.369,24.628,0.0,18.6,5.301
heuristic,5,phase-1-a-preferred,A,16.761,36.777,0.0,18.6,4.838
heuristic,6,phase-1-a-preferred,A,17.471,24.573,0.0,18.7,5.112
heuristic,7,phase-1-a-preferred,A,17.372,24.559,0.0,18.6,5.047
heuristic,8,phase-1-a-preferred,A,17.374,24.519,0.0,18.6,5.07
heuristic,9,phase-1-a-preferred,A,16.76,36.796,0.0,18.6,5.335
heuristic,10,phase-1-a-preferred,A,17.471,24.589,0.0,18.7,5.303
heuristic,11,phase-2-b-preferred,B,16.863,36.733,0.0,18.7,5.262
heuristic,12,phase-2-b-preferred,B,16.728,37.447,0.0,18.6,4.836
heuristic,13,phase-2-b-preferred,B,17.23,25.402,0.0,18.5,4.864
heuristic,14,phase-2-b-preferred,B,16.763,36.75,0.0,18.6,5.158
heuristic,15,phase-2-b-preferred,B,17.47,24.593,0.0,18.7,5.166
heuristic,16,phase-2-b-preferred,B,16.858,36.841,0.0,18.7,5.356
heuristic,17,phase-2-b-preferred,B,17.369,24.623,0.0,18.6,5.372
heuristic,18,phase-2-b-preferred,B,16.766,36.673,0.0,18.6,5.33
heuristic,19,phase-2-b-preferred,B,17.47,24.594,0.0,18.7,5.185
heuristic,20,phase-2-b-preferred,B,16.615,37.708,0.0,18.5,4.784
fixed_a,1,phase-1-a-preferred,A,16.759,36.825,0.0,18.6,5.328
fixed_a,2,phase-1-a-preferred,A,17.367,24.664,0.0,18.6,5.315
fixed_a,3,phase-1-a-preferred,A,16.865,36.703,0.0,18.7,5.215
fixed_a,4,phase-1-a-preferred,A,17.234,25.327,0.0,18.5,4.784
fixed_a,5,phase-1-a-preferred,A,16.715,37.695,0.0,18.6,4.694
fixed_a,6,phase-1-a-preferred,A,17.37,24.606,0.0,18.6,5.137
fixed_a,7,phase-1-a-preferred,A,16.761,36.776,0.0,18.6,5.313
fixed_a,8,phase-1-a-preferred,A,17.371,24.584,0.0,18.6,5.692
fixed_a,9,phase-1-a-preferred,A,16.761,36.776,0.0,18.6,5.099
fixed_a,10,phase-1-a-preferred,A,17.226,25.483,0.0,18.5,4.872
fixed_a,11,phase-2-b-preferred,A,-36.733,249.067,50.0,0.72,13.482
fixed_a,12,phase-2-b-preferred,A,-4.758,124.75,0.0,1.48,8.755
fixed_a,13,phase-2-b-preferred,A,-31.879,186.974,50.0,2.47,25.071
fixed_a,14,phase-2-b-preferred,A,-33.378,186.959,50.0,0.97,20.334
fixed_a,15,phase-2-b-preferred,A,-8.728,186.958,0.0,0.62,10.533
fixed_a,16,phase-2-b-preferred,A,-5.257,124.74,0.0,0.98,9.081
fixed_a,17,phase-2-b-preferred,A,-8.677,186.947,0.0,0.67,7.723
fixed_a,18,phase-2-b-preferred,A,-30.165,124.709,50.0,1.07,20.163
fixed_a,19,phase-2-b-preferred,A,-8.347,186.932,0.0,1.0,8.832
fixed_a,20,phase-2-b-preferred,A,-30.886,124.71,50.0,0.35,10.903
fixed_b,1,phase-1-a-preferred,B,-8.237,186.948,0.0,1.11,10.496
fixed_b,2,phase-1-a-preferred,B,-5.736,124.724,0.0,0.5,8.492
fixed_b,3,phase-1-a-preferred,B,-8.337,186.948,0.0,1.01,7.205
fixed_b,4,phase-1-a-preferred,B,-5.526,124.727,0.0,0.71,11.287
fixed_b,5,phase-1-a-preferred,B,-8.7,187.396,0.0,0.67,10.083
fixed_b,6,phase-1-a-preferred,B,-30.64,124.79,50.0,0.6,14.128
fixed_b,7,phase-1-a-preferred,B,-29.003,126.855,50.0,2.34,22.074
fixed_b,8,phase-1-a-preferred,B,-4.633,124.867,0.0,1.61,12.434
fixed_b,9,phase-1-a-preferred,B,-36.295,249.305,50.0,1.17,15.638
fixed_b,10,phase-1-a-preferred,B,-30.907,124.931,50.0,0.34,13.569
fixed_b,11,phase-2-b-preferred,B,16.761,36.772,0.0,18.6,6.193
fixed_b,12,phase-2-b-preferred,B,17.366,24.681,0.0,18.6,6.464
fixed_b,13,phase-2-b-preferred,B,17.361,24.771,0.0,18.6,6.38
fixed_b,14,phase-2-b-preferred,B,17.365,24.705,0.0,18.6,6.095
fixed_b,15,phase-2-b-preferred,B,17.364,24.727,0.0,18.6,6.561
fixed_b,16,phase-2-b-preferred,B,17.366,24.688,0.0,18.6,6.139
fixed_b,17,phase-2-b-preferred,B,17.465,24.709,0.0,18.7,6.255
fixed_b,18,phase-2-b-preferred,B,17.362,24.755,0.0,18.6,6.066
fixed_b,19,phase-2-b-preferred,B,17.369,24.616,0.0,18.6,5.959
fixed_b,20,phase-2-b-preferred,B,17.369,24.616,0.0,18.6,5.95
