episode,phase,path,reward,rtt_ms,loss_percent,throughput_mbps
1,phase-1-a-preferred,B,-0.006,134.041,4.0,8.696
2,phase-1-a-preferred,A,16.955,34.116,0.0,18.661
3,phase-1-a-preferred,A,16.999,33.885,0.0,18.693
4,phase-1-a-preferred,A,16.93,34.476,0.0,18.654
5,phase-1-a-preferred,A,16.812,33.442,0.0,18.484
6,phase-1-a-preferred,A,16.824,34.499,0.0,18.549
7,phase-1-a-preferred,B,-0.216,134.465,4.0,8.507
8,phase-1-a-preferred,A,16.831,34.302,0.0,18.546
9,phase-1-a-preferred,A,17.0,33.768,0.0,18.688
10,phase-1-a-preferred,A,17.013,34.088,0.0,18.717
11,phase-2-b-preferred,A,0.085,133.515,4.0,8.761
12,phase-2-b-preferred,A,-0.019,133.955,4.0,8.679
13,phase-2-b-preferred,B,17.073,33.498,0.0,18.748
14,phase-2-b-preferred,A,-0.045,134.199,4.0,8.665
15,phase-2-b-preferred,B,16.972,33.897,0.0,18.667
16,phase-2-b-preferred,A,-0.007,134.282,4.0,8.707
17,phase-2-b-preferred,B,16.94,33.56,0.0,18.618
18,phase-2-b-preferred,B,16.905,34.283,0.0,18.619
19,phase-2-b-preferred,B,17.053,33.494,0.0,18.728
20,phase-2-b-preferred,B,16.94,33.596,0.0,18.62
