episode,phase,path,reward,rtt_ms,loss_percent,throughput_mbps
1,phase-1-a-preferred,A,17.123,29.549,0.0,18.6
2,phase-1-a-preferred,A,17.371,24.573,0.0,18.6
3,phase-1-a-preferred,A,17.37,24.592,0.0,18.6
4,phase-1-a-preferred,A,17.47,24.609,0.0,18.7
5,phase-1-a-preferred,B,-16.741,154.812,20.0,1.0
6,phase-1-a-preferred,A,17.371,24.578,0.0,18.6
7,phase-1-a-preferred,A,17.471,24.57,0.0,18.7
8,phase-1-a-preferred,A,17.472,24.566,0.0,18.7
9,phase-1-a-preferred,B,-15.634,124.672,20.0,0.6
10,phase-1-a-preferred,A,17.37,24.598,0.0,18.6
11,phase-2-b-preferred,A,-5.446,124.717,0.0,0.79
12,phase-2-b-preferred,A,-15.58,125.39,20.0,0.69
13,phase-2-b-preferred,A,-24.945,125.497,40.0,1.33
14,phase-2-b-preferred,A,-15.038,125.567,20.0,1.24
15,phase-2-b-preferred,B,17.372,24.56,0.0,18.6
16,phase-2-b-preferred,A,-15.736,124.718,20.0,0.5
17,phase-2-b-preferred,B,17.47,24.603,0.0,18.7
18,phase-2-b-preferred,B,17.47,24.604,0.0,18.7
19,phase-2-b-preferred,B,17.37,24.596,0.0,18.6
20,phase-2-b-preferred,B,17.469,24.612,0.0,18.7
